animalid,name,datetime,outcometype,outcomesubtype,animaltype,sexuponoutcome,ageuponoutcome,breed,color
A699092,Unnamed,2015-03-24 19:02:00,Euthanasia,Suffering,Cat,Neutered Male,1825,Domestic Shorthair Mix,Black/White
A667337,Pechula,2013-12-02 16:16:00,Transfer,Partner,Cat,Spayed Female,60,Domestic Shorthair Mix,Tortie/White
A678356,Unnamed,2014-05-11 11:39:00,Transfer,Partner,Dog,Intact Female,60,Labrador Retriever Mix,Brown/White
A694452,Unnamed,2014-12-29 10:55:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Brown Tabby
A714668,Shelby,2015-10-27 19:11:00,Return_to_owner,unknown,Dog,Spayed Female,3650,Basset Hound Mix,Tricolor
A714218,Aurora,2015-12-02 19:47:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Longhair Mix,Tortie
A685008,Unnamed,2014-08-07 17:26:00,Adoption,unknown,Dog,Neutered Male,150,Rat Terrier/Chihuahua Shorthair,Black/Tan
A706580,Greta,2015-08-25 08:59:00,Adoption,Foster,Dog,Spayed Female,1460,Carolina Dog/Chihuahua Shorthair,White/Cream
A698387,Unnamed,2015-03-14 17:04:00,Adoption,unknown,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Brown
A666443,Darla,2013-11-01 16:11:00,Transfer,Partner,Dog,Spayed Female,730,Pit Bull Mix,Brown Brindle/White
A695770,Zoey,2015-01-23 17:03:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Silver Tabby
A678746,Unnamed,2014-05-16 17:25:00,Transfer,Partner,Dog,Intact Male,730,Chihuahua Shorthair Mix,Tan/White
A667230,Oliver,2013-12-06 16:52:00,Adoption,Foster,Dog,Neutered Male,60,Australian Shepherd Mix,White/Tan
A704799,Unnamed,2015-06-20 12:29:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Blue Tabby
A712059,Hector,2015-10-17 14:57:00,Euthanasia,Aggressive,Dog,Neutered Male,1095,Rottweiler Mix,Black/Tan
A707827,Unnamed,2015-07-23 16:57:00,Adoption,unknown,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby
A683772,Vesper,2014-07-24 20:03:00,Adoption,unknown,Cat,Spayed Female,30,Domestic Shorthair Mix,Blue
A700334,Hudson,2015-05-07 16:27:00,Adoption,Foster,Dog,Neutered Male,365,Cairn Terrier/Chihuahua Shorthair,Gray/White
A392615,Chip,2015-07-26 15:18:00,Return_to_owner,unknown,Dog,Neutered Male,3650,Dachshund/Parson Russell Terrier,Brown/White
A675885,Evie,2014-05-31 19:33:00,Adoption,unknown,Dog,Spayed Female,60,Beagle Mix,Brown/White
A515112,Reggie,2014-04-22 14:10:00,Return_to_owner,unknown,Dog,Neutered Male,2920,Shiba Inu/Dachshund,Brown
A713283,Annabelle,2015-10-12 18:59:00,Adoption,unknown,Dog,Spayed Female,730,Australian Cattle Dog/Plott Hound,Brown Brindle
A710703,Vella,2015-09-14 12:40:00,Transfer,Partner,Dog,Spayed Female,365,Tibetan Terrier Mix,Gray
A683742,Unnamed,2014-07-14 19:04:00,Transfer,Partner,Cat,Unknown,7,Domestic Shorthair Mix,Brown Tabby
A696532,Bernard,2015-02-17 11:08:00,Adoption,unknown,Dog,Neutered Male,240,Shih Tzu,Chocolate/Tan
A718467,Rocky,2016-01-03 12:53:00,Return_to_owner,unknown,Dog,Neutered Male,1095,Alaskan Husky Mix,Cream/Black
A673384,Buddy,2014-03-13 11:26:00,Return_to_owner,unknown,Dog,Neutered Male,4380,Chihuahua Shorthair Mix,Brown
A705076,Bea,2015-06-17 12:35:00,Transfer,Partner,Cat,Intact Female,1095,Domestic Shorthair Mix,Tortie
A719987,Buddy,2016-02-07 14:47:00,Transfer,Partner,Cat,Intact Male,730,Domestic Shorthair Mix,Orange Tabby/White
A695639,Lady,2015-01-30 15:22:00,Return_to_owner,unknown,Dog,Spayed Female,730,Chihuahua Shorthair Mix,Black
A701961,Unnamed,2015-05-13 17:05:00,Adoption,unknown,Dog,Spayed Female,60,Labrador Retriever Mix,Black/White
A665065,Unnamed,2013-10-13 15:14:00,Transfer,Partner,Cat,Unknown,7,Domestic Medium Hair Mix,Black
A705937,Unnamed,2015-06-26 00:00:00,Adoption,unknown,Dog,Neutered Male,30,Chihuahua Shorthair Mix,Black
A669102,Sparky,2013-12-18 18:54:00,Adoption,unknown,Dog,Neutered Male,1460,Jack Russell Terrier Mix,White/Tricolor
A716167,Olive,2015-11-27 18:34:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Torbie
A698635,Unnamed,2015-03-20 11:17:00,Euthanasia,Suffering,Cat,Intact Female,180,Domestic Longhair Mix,Calico
A702268,Unnamed,2015-05-12 09:00:00,Transfer,SCRP,Cat,Unknown,365,Domestic Shorthair Mix,Black
A713829,George,2015-12-16 16:37:00,Adoption,Foster,Cat,Intact Male,90,Domestic Shorthair Mix,Blue
A703246,Lottie,2015-05-26 18:06:00,Adoption,unknown,Cat,Intact Female,60,Domestic Shorthair Mix,Tortie
A695939,Striker,2015-07-22 16:57:00,Return_to_owner,unknown,Dog,Spayed Female,270,Siberian Husky Mix,Sable
A666357,Ferdinand,2013-11-24 15:00:00,Transfer,Partner,Cat,Neutered Male,1095,Domestic Shorthair Mix,Black
A708432,Jillian,2015-09-21 15:54:00,Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair Mix,Black
A688995,Unnamed,2014-09-28 09:00:00,Transfer,SCRP,Cat,Intact Female,150,Domestic Shorthair Mix,Brown Tabby
A681284,Sandy,2014-06-26 11:55:00,Transfer,Partner,Dog,Spayed Female,90,Australian Cattle Dog/Labrador Retriever,Tan/White
A683882,Clipper,2014-08-07 18:20:00,Adoption,unknown,Dog,Neutered Male,2555,German Shepherd Mix,Black/Brown
A696928,Ranger,2015-07-03 12:24:00,Transfer,Partner,Cat,Neutered Male,730,Domestic Shorthair Mix,Black
A716083,Chunk,2015-11-14 13:04:00,Return_to_owner,unknown,Dog,Intact Male,270,Rottweiler,Black/Brown
A712368,Unnamed,2015-10-04 12:08:00,Adoption,unknown,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby/White
A673590,Sachi,2014-03-04 17:22:00,Return_to_owner,unknown,Dog,Spayed Female,365,Greyhound/Dalmatian,Tricolor
A687720,Louise,2014-09-14 18:57:00,Adoption,unknown,Dog,Spayed Female,150,Whippet/Australian Kelpie,Brown Brindle/White
A520040,Maya,2014-07-22 17:17:00,Return_to_owner,unknown,Dog,Spayed Female,2190,Labrador Retriever/Queensland Heeler,Black/White
A692621,Clyde,2014-11-24 17:20:00,Transfer,Partner,Dog,Intact Male,30,Chihuahua Shorthair/Yorkshire Terrier,Brown/Black
A687614,Sasha,2014-09-21 17:28:00,Adoption,unknown,Dog,Spayed Female,1095,Tibetan Terrier Mix,Gray
A691430,Unnamed,2014-11-05 09:00:00,Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair Mix,Cream Tabby
A500361,Luna,2014-08-27 10:08:00,Adoption,Foster,Dog,Spayed Female,270,Labrador Retriever Mix,Black/White
A664848,Skyler,2014-03-09 19:11:00,Adoption,unknown,Dog,Spayed Female,2190,Dachshund Mix,Chocolate/Tricolor
A715309,Coco,2016-01-23 16:38:00,Adoption,Foster,Dog,Spayed Female,730,Jack Russell Terrier Mix,Tricolor
A688101,Unnamed,2014-09-14 19:32:00,Transfer,Partner,Cat,Unknown,14,Domestic Shorthair Mix,Brown Tabby
A674665,Yum Yum,2014-03-24 13:33:00,Return_to_owner,unknown,Cat,Neutered Male,1095,Domestic Shorthair Mix,Black
A684374,Ebony,2014-07-27 11:55:00,Transfer,Partner,Dog,Intact Female,120,Australian Kelpie Mix,Black/Tan
A669133,Q,2014-03-11 14:12:00,Euthanasia,Aggressive,Dog,Neutered Male,1460,Pit Bull Mix,Black/White
A671230,Unnamed,2014-01-25 17:43:00,Adoption,unknown,Dog,Spayed Female,60,Dachshund/Harrier,Black/Tan
A685270,Unnamed,2014-08-10 13:05:00,Transfer,Partner,Dog,Intact Female,30,Pit Bull Mix,Red
A665438,Charley,2013-10-24 13:14:00,Adoption,unknown,Dog,Spayed Female,730,Golden Retriever/Border Collie,Gold/White
A688551,Miles,2014-12-28 13:13:00,Adoption,Foster,Cat,Intact Male,120,Manx Mix,Brown Tabby/White
A719336,Niiv,2016-01-25 16:13:00,Adoption,unknown,Dog,Neutered Male,365,Belgian Malinois Mix,Tan
A707441,Unnamed,2015-07-19 16:31:00,Transfer,Partner,Dog,Spayed Female,365,Great Pyrenees,White
A688736,Raven,2015-01-11 14:23:00,Transfer,Partner,Cat,Spayed Female,180,Domestic Shorthair Mix,Black
A683127,Unnamed,2014-07-08 11:56:00,Transfer,Partner,Cat,Intact Female,90,Domestic Shorthair Mix,Brown Tabby/White
A675604,Gibson,2014-04-02 17:52:00,Return_to_owner,unknown,Dog,Neutered Male,730,Labrador Retriever/Catahoula,Yellow
A676912,Unnamed,2014-04-17 09:36:00,Euthanasia,Suffering,Cat,Intact Female,365,Domestic Longhair Mix,Tortie
A713266,Peanutbutter,2015-10-21 13:37:00,Transfer,Partner,Cat,Spayed Female,1825,Domestic Shorthair Mix,Tortie
A688687,Unnamed,2014-09-23 09:00:00,Transfer,SCRP,Cat,Intact Female,90,Domestic Shorthair Mix,Brown Tabby
A689135,Unnamed,2014-10-05 17:41:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Tortie
A715100,Luke,2015-11-25 14:43:00,Adoption,unknown,Dog,Intact Male,365,Labrador Retriever/Pit Bull,Black/White
A700506,Domino,2015-04-28 18:19:00,Transfer,Partner,Dog,Spayed Female,2190,Australian Cattle Dog Mix,White/Black
A711280,Unnamed,2015-09-07 18:26:00,Transfer,Partner,Dog,Intact Female,30,German Shepherd Mix,Brown/Black
A669458,Shelby,2013-12-24 12:37:00,Adoption,unknown,Dog,Intact Female,60,German Shepherd Mix,Black/Tan
A711316,Emily,2015-09-05 18:06:00,Adoption,unknown,Cat,Spayed Female,730,Domestic Longhair Mix,Calico
A682722,Butters,2014-07-02 14:00:00,Return_to_owner,unknown,Dog,Spayed Female,365,Labrador Retriever Mix,Tan/White
A683098,Plato,2014-08-04 14:34:00,Transfer,Partner,Cat,Neutered Male,3650,Domestic Shorthair Mix,Brown Tabby/White
A683254,Unnamed,2014-07-08 15:26:00,Transfer,Partner,Cat,Intact Male,21,Domestic Medium Hair Mix,Brown Tabby
A626847,Sasha,2014-10-04 18:27:00,Adoption,unknown,Dog,Spayed Female,730,German Shepherd Mix,Brown/White
A668695,Madeleine,2014-01-05 14:40:00,Transfer,Partner,Dog,Spayed Female,1095,Collie Smooth Mix,Brown/White
A715460,Spock,2015-12-28 14:36:00,Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair Mix,Brown Tabby/White
A687951,Toby,2014-11-01 11:08:00,Transfer,Partner,Dog,Spayed Female,3650,Labrador Retriever Mix,Black
A685739,Brandy,2014-11-21 17:47:00,Adoption,unknown,Dog,Spayed Female,365,Pit Bull Mix,Chocolate/White
A695279,Jasmine,2015-01-14 17:41:00,Transfer,Partner,Dog,Spayed Female,365,Yorkshire Terrier,Silver/Brown
A711482,Fred,2015-12-22 13:23:00,Adoption,unknown,Cat,Neutered Male,120,Domestic Shorthair Mix,Black
A646538,Snow,2014-04-27 18:39:00,Adoption,unknown,Dog,Spayed Female,730,Alaskan Husky Mix,Cream/Gray
A430671,Unnamed,2014-05-27 17:17:00,Euthanasia,Suffering,Dog,Spayed Female,2920,Labrador Retriever/Pit Bull,Black/White
A669045,Lola,2013-12-13 18:15:00,Transfer,Partner,Dog,Intact Female,210,Labrador Retriever Mix,Black/White
A699268,Hannah,2015-08-27 12:41:00,Adoption,Foster,Dog,Spayed Female,1460,Australian Cattle Dog Mix,White/Black
A712592,Unnamed,2015-09-25 16:00:00,Transfer,Partner,Cat,Intact Male,2,Domestic Shorthair Mix,Brown Tabby
A678320,Shirley,2014-05-14 17:34:00,Adoption,unknown,Dog,Spayed Female,365,Labrador Retriever/Boxer,Brown/White
A705469,Unnamed,2015-06-17 18:27:00,Transfer,Partner,Cat,Unknown,21,Domestic Shorthair Mix,Brown Tabby
A691774,Bella,2014-12-30 07:36:00,Adoption,Foster,Cat,Spayed Female,4380,Maine Coon Mix,Brown Tabby
A709676,Wendall,2015-08-19 15:45:00,Adoption,unknown,Dog,Neutered Male,365,Miniature Pinscher Mix,Chocolate/Tan
A686155,Jango,2014-08-22 17:43:00,Adoption,unknown,Dog,Neutered Male,180,Australian Cattle Dog Mix,Black/Blue Tick
A676714,Daisee,2014-04-20 17:27:00,Adoption,unknown,Dog,Spayed Female,365,Jack Russell Terrier Mix,Buff
A693292,Unnamed,2014-12-09 17:51:00,Adoption,unknown,Dog,Spayed Female,60,Labrador Retriever Mix,Black/White
A719261,Unnamed,2016-01-20 11:36:00,Transfer,Partner,Dog,Intact Female,60,Labrador Retriever Mix,Black
A720352,Riley,2016-02-07 18:45:00,Return_to_owner,unknown,Dog,Spayed Female,2190,Australian Cattle Dog Mix,Black/White
A670551,Judah,2014-01-16 17:49:00,Return_to_owner,unknown,Dog,Neutered Male,270,Labrador Retriever Mix,Black
A609629,Joey,2015-03-24 16:44:00,Return_to_owner,unknown,Dog,Intact Male,4015,Rottweiler Mix,Tan
A717496,Walter,2015-12-18 16:13:00,Adoption,unknown,Dog,Neutered Male,1095,Staffordshire Mix,White/Chocolate
A716259,Maddy,2015-11-21 19:43:00,Adoption,unknown,Dog,Spayed Female,150,Dachshund Mix,Brown Merle/White
A682428,Unnamed,2014-07-08 14:50:00,Transfer,Partner,Cat,Spayed Female,60,Domestic Shorthair Mix,Brown Tabby
A694061,Kiki,2014-12-28 18:14:00,Return_to_owner,unknown,Cat,Neutered Male,365,Domestic Shorthair Mix,Orange Tabby/White
A694681,Miss,2015-01-25 17:25:00,Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair Mix,White/Blue
A687769,Rose,2014-11-22 15:08:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Brown Tabby
A671150,Unnamed,2014-01-23 17:08:00,Adoption,unknown,Dog,Neutered Male,365,Tibetan Terrier Mix,Black/White
A593205,Nigel,2014-04-30 16:43:00,Adoption,unknown,Dog,Neutered Male,2190,Dachshund Mix,Red
A692533,Sadie,2014-12-04 17:19:00,Transfer,Partner,Dog,Spayed Female,365,Blue Lacy Mix,Black Brindle/White
A677625,Camelot,2014-05-30 19:26:00,Adoption,unknown,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby
A668896,Sofie,2013-12-11 18:37:00,Return_to_owner,unknown,Cat,Spayed Female,365,Domestic Shorthair Mix,Black/White
A670319,Rocco,2014-01-06 12:55:00,Return_to_owner,unknown,Dog,Neutered Male,1095,Miniature Schnauzer Mix,Silver/Tan
A688941,Unnamed,2014-09-27 09:00:00,Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair Mix,Brown Tabby
A690002,Unnamed,2014-10-14 14:07:00,Euthanasia,Medical,Cat,Intact Male,2920,Domestic Shorthair Mix,Brown Tabby/White
A701538,Unnamed,2015-05-12 12:02:00,Transfer,Partner,Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Tricolor
A672982,King,2014-03-27 13:52:00,Euthanasia,Aggressive,Dog,Neutered Male,1095,Pit Bull Mix,White/Red
A696502,Buddy,2015-02-08 14:37:00,Euthanasia,Medical,Dog,Intact Male,1460,Plott Hound Mix,Black/Brown Brindle
A689464,Sonny,2014-10-19 12:26:00,Adoption,unknown,Cat,Neutered Male,1825,Domestic Shorthair Mix,Brown Tabby
A704402,Eclair,2015-07-01 15:30:00,Adoption,unknown,Cat,Intact Female,60,Domestic Shorthair Mix,White/Cream Tabby
A680762,Bello,2014-07-29 13:20:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair Mix,Brown Tabby
A690963,Gunnar,2014-11-02 16:37:00,Transfer,Partner,Dog,Neutered Male,60,Catahoula Mix,Brown Brindle/White
A699387,Javier,2015-03-27 15:00:00,Euthanasia,Suffering,Cat,Intact Female,5110,Domestic Shorthair Mix,Blue Tabby/White
A677886,Unnamed,2014-05-04 17:32:00,Adoption,unknown,Dog,Spayed Female,365,Labrador Retriever Mix,Black
A677264,Biscuit,2014-04-24 11:44:00,Return_to_owner,unknown,Dog,Spayed Female,1095,Jack Russell Terrier Mix,White/Brown
A702917,Unnamed,2015-05-23 16:22:00,Transfer,Partner,Dog,Spayed Female,365,Chihuahua Shorthair Mix,Tricolor
A676597,Unnamed,2014-04-13 13:00:00,Transfer,SCRP,Cat,Unknown,240,Domestic Shorthair Mix,Brown Tabby
A683874,Unnamed,2014-07-16 15:00:00,Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair Mix,Blue Tabby
A703192,Aj,2015-07-18 18:53:00,Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair Mix,Brown Tabby
A636638,Stella,2014-08-01 18:26:00,Euthanasia,Suffering,Dog,Spayed Female,2190,Boston Terrier Mix,White/Black
A665906,Dolly,2013-11-25 13:55:00,Adoption,unknown,Cat,Spayed Female,365,Domestic Shorthair Mix,Black/White
A694439,Chico,2015-01-04 18:40:00,Return_to_owner,unknown,Dog,Neutered Male,730,Miniature Poodle Mix,Buff
A718232,Wild Child,2015-12-28 14:29:00,Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair Mix,Orange Tabby
A702053,Diesel,2015-05-09 14:09:00,Return_to_owner,unknown,Cat,Neutered Male,1460,Domestic Longhair Mix,Black/White
A664286,Sugar,2013-10-07 17:42:00,Adoption,unknown,Dog,Spayed Female,730,Chihuahua Shorthair Mix,White/Brown
A679129,Jon Snow,2014-07-07 12:37:00,Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair Mix,Blue
A717232,Tuck,2016-01-04 11:15:00,Transfer,Partner,Dog,Neutered Male,1095,Pit Bull Mix,Black/White
A670988,Unnamed,2014-01-21 15:23:00,Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair Mix,Orange Tabby
A685528,Estrella,2015-08-04 17:41:00,Return_to_owner,unknown,Dog,Spayed Female,1095,German Shepherd Mix,Black/Brown
A662736,Unnamed,2014-04-17 14:19:00,Transfer,SCRP,Cat,Spayed Female,365,Domestic Medium Hair Mix,Black/White
A642671,Panger,2013-11-26 15:23:00,Return_to_owner,unknown,Cat,Spayed Female,730,Domestic Medium Hair Mix,Tortie
A287017,Stitch,2015-08-16 13:31:00,Return_to_owner,unknown,Dog,Spayed Female,5110,Chihuahua Shorthair Mix,Black/White
A664573,Unnamed,2013-10-10 14:02:00,Adoption,unknown,Cat,Spayed Female,90,Domestic Shorthair Mix,Brown Tabby
A680192,Tootsie,2014-08-23 12:59:00,Adoption,Foster,Cat,Spayed Female,365,Domestic Shorthair Mix,Black Smoke/White
A694923,Amos,2015-01-10 18:32:00,Euthanasia,Medical,Dog,Intact Male,3650,Pit Bull Mix,Brown/White
A718635,Joaquin,2016-01-10 00:00:00,Transfer,Partner,Dog,Neutered Male,180,Pit Bull Mix,Black Brindle
A668005,Apollo,2013-11-30 17:30:00,Adoption,unknown,Dog,Neutered Male,120,Pit Bull Mix,White/Brown
A624844,Coco,2014-06-23 12:32:00,Return_to_owner,unknown,Dog,Neutered Male,730,American Eskimo Mix,White/Brown
A701941,Bootsy,2015-05-06 17:28:00,Return_to_owner,unknown,Dog,Neutered Male,1460,Queensland Heeler Mix,Red
A698604,Pigeon,2015-04-08 15:32:00,Transfer,Partner,Cat,Spayed Female,1825,Domestic Medium Hair Mix,Blue
A693820,Unnamed,2014-12-15 12:17:00,Euthanasia,Suffering,Dog,Intact Female,365,Pit Bull/Australian Cattle Dog,Black/White
A664605,Diesel,2013-10-16 18:34:00,Return_to_owner,unknown,Dog,Spayed Female,1095,Pointer Mix,White/Brown
A682191,Gunnar,2014-06-26 16:10:00,Transfer,Partner,Cat,Intact Male,28,Siamese Mix,Flame Point
A658891,White Cat,2015-03-18 16:39:00,Transfer,Partner,Cat,Neutered Male,365,Domestic Medium Hair Mix,White
A505682,Webster,2014-01-21 16:48:00,Return_to_owner,unknown,Dog,Neutered Male,1825,Labrador Retriever Mix,Black
A706397,Sally,2015-07-23 18:20:00,Adoption,unknown,Cat,Spayed Female,30,Domestic Shorthair,Tortie
A683301,X,2014-07-18 13:03:00,Transfer,Partner,Dog,Neutered Male,2555,Australian Cattle Dog Mix,Black/Blue Merle
A666488,Shasta,2013-11-15 15:04:00,Return_to_owner,unknown,Dog,Spayed Female,270,Labrador Retriever Mix,Brown
A699101,Oreo,2015-03-24 18:18:00,Return_to_owner,unknown,Dog,Neutered Male,365,Australian Shepherd/Australian Cattle Dog,Black/White
A666047,Unnamed,2013-10-29 12:43:00,Return_to_owner,unknown,Dog,Neutered Male,730,Chihuahua Shorthair Mix,Brown/White
A713587,Luna Bella,2015-11-03 10:17:00,Adoption,Foster,Dog,Spayed Female,3650,Labrador Retriever Mix,Black/White
A684256,Unnamed,2014-07-25 16:59:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Calico
A680856,Big Dog,2014-06-10 18:26:00,Return_to_owner,unknown,Dog,Neutered Male,730,Great Pyrenees Mix,Cream
A700312,Julian,2015-05-30 14:21:00,Adoption,unknown,Cat,Neutered Male,1095,Snowshoe Mix,Lynx Point
A689177,Unnamed,2014-10-22 15:56:00,Adoption,Foster,Dog,Neutered Male,30,Golden Retriever Mix,Brown
A667075,Shadow,2013-12-08 19:13:00,Adoption,unknown,Cat,Neutered Male,120,Domestic Shorthair Mix,Black
A706077,Unnamed,2015-06-30 15:25:00,Transfer,Partner,Cat,Intact Female,730,Domestic Shorthair Mix,Tortie
A713813,Leilo,2015-10-22 14:31:00,Transfer,Partner,Cat,Spayed Female,2920,Domestic Longhair Mix,Brown Tabby/White
A708424,Unnamed,2015-07-29 15:49:00,Transfer,Partner,Dog,Intact Male,90,Pit Bull Mix,Tricolor
A699265,Cookie,2015-03-28 12:04:00,Adoption,unknown,Dog,Spayed Female,730,Italian Greyhound Mix,Red/White
A698574,Unnamed,2015-03-15 10:22:00,Euthanasia,Suffering,Cat,Spayed Female,730,Domestic Shorthair Mix,Orange Tabby
A688327,Julio,2015-09-03 18:58:00,Transfer,Partner,Dog,Neutered Male,1460,American Bulldog Mix,White/Tan
A706800,Unnamed,2015-07-19 17:42:00,Adoption,unknown,Cat,Neutered Male,90,Domestic Shorthair Mix,Black
A714470,Crash,2015-10-28 14:07:00,Adoption,unknown,Dog,Neutered Male,365,Miniature Pinscher Mix,Black/Brown
A435237,Rusty,2016-02-16 16:23:00,Return_to_owner,unknown,Dog,Neutered Male,270,Labrador Retriever Mix,Black/White
A688215,Unnamed,2014-09-16 17:56:00,Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair Mix,Brown Tabby/White
A482518,Gus,2014-06-28 12:53:00,Return_to_owner,unknown,Dog,Neutered Male,2555,Australian Cattle Dog/Border Collie,Tricolor
A682885,Unnamed,2014-07-04 14:56:00,Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair Mix,Brown Tabby
A685426,Unnamed,2014-08-07 13:25:00,Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair Mix,Brown Tabby
A710210,Spunky,2015-09-17 18:41:00,Adoption,unknown,Dog,Neutered Male,730,Miniature Pinscher Mix,Black/Brown
A662329,Dexter,2015-04-07 13:01:00,Adoption,Foster,Dog,Neutered Male,730,Pit Bull/Catahoula,White/Brown
A671539,Daisy,2014-02-04 14:10:00,Transfer,Partner,Dog,Intact Female,90,Border Collie Mix,Black/White
A717448,Tyson,2015-12-26 16:53:00,Adoption,unknown,Dog,Neutered Male,365,Black Mouth Cur Mix,Tan/Black
A673662,Unnamed,2014-03-01 14:00:00,Transfer,SCRP,Cat,Unknown,730,Domestic Shorthair Mix,Brown Tabby
A717076,Puzzles,2015-12-23 16:22:00,Adoption,unknown,Cat,Spayed Female,365,Domestic Shorthair Mix,Brown Tabby/White
A693296,Unnamed,2014-12-06 09:00:00,Transfer,SCRP,Cat,Intact Male,180,Domestic Shorthair Mix,Blue/White
A485651,Bambi,2013-11-02 17:42:00,Return_to_owner,unknown,Dog,Spayed Female,2190,Doberman Pinsch,Red/Tan
A673729,Unnamed,2014-03-01 13:21:00,Transfer,Partner,Dog,Intact Female,30,Plott Hound Mix,Black/Brown Brindle
A693157,Harly,2014-12-05 16:58:00,Return_to_owner,unknown,Dog,Spayed Female,730,Dachshund Mix,Red/White
A684283,Rocky,2014-07-31 18:59:00,Return_to_owner,unknown,Dog,Neutered Male,730,Border Collie Mix,Black/White
A712176,Petra,2015-09-26 09:32:00,Transfer,Partner,Dog,Spayed Female,150,Labrador Retriever Mix,Cream
A688365,Bella,2014-09-19 13:27:00,Return_to_owner,unknown,Dog,Spayed Female,365,Pit Bull Mix,Blue
A699563,Ash,2015-04-07 18:23:00,Return_to_owner,unknown,Dog,Spayed Female,2190,Pit Bull Mix,Chocolate/White
A554865,Pepe,2015-01-12 00:00:00,Transfer,Partner,Dog,Neutered Male,2190,Chihuahua Shorthair,White
A670416,Pancho,2014-01-08 16:45:00,Return_to_owner,unknown,Dog,Neutered Male,730,Miniature Poodle/Bichon Frise,White
A693833,Kyzer,2014-12-24 11:15:00,Return_to_owner,unknown,Dog,Neutered Male,2555,Pit Bull Mix,Black/White
A698705,Rico,2015-12-10 13:14:00,Adoption,Foster,Dog,Neutered Male,730,Labrador Retriever Mix,Black/White
A665251,Fayah,2013-10-20 13:03:00,Transfer,Partner,Dog,Spayed Female,180,Pit Bull Mix,Brown/Tricolor
A677664,Joey,2014-05-08 16:46:00,Adoption,unknown,Dog,Intact Male,60,Greater Swiss Mountain Dog Mix,Tricolor/White
A705886,Prume,2015-07-08 17:57:00,Adoption,unknown,Cat,Spayed Female,60,Domestic Shorthair Mix,Black
A693546,Nebula,2014-12-15 18:26:00,Adoption,unknown,Dog,Spayed Female,365,Great Pyrenees/English Setter,White/Black
A666184,Buster,2013-11-11 16:37:00,Adoption,unknown,Cat,Neutered Male,90,Domestic Shorthair Mix,Black/White
A676098,Cato,2014-04-28 18:01:00,Adoption,unknown,Dog,Neutered Male,730,Queensland Heeler Mix,Red/Red Tick
A686700,Archie,2014-08-30 12:38:00,Adoption,unknown,Dog,Neutered Male,210,Smooth Fox Terrier Mix,White/Brown
A677483,Unnamed,2014-04-27 12:25:00,Transfer,Partner,Cat,Intact Female,28,Domestic Shorthair Mix,Black
A625400,Chuy,2014-04-27 12:19:00,Return_to_owner,unknown,Dog,Neutered Male,1095,Pit Bull Mix,White/Brown
A706228,Rico,2015-06-27 15:16:00,Transfer,Partner,Dog,Intact Male,730,Shetland Sheepdog,Tricolor
A552342,Passion,2014-01-06 17:23:00,Transfer,Partner,Dog,Spayed Female,1460,Cocker Spaniel,Black
A702982,Unnamed,2015-05-19 18:48:00,Transfer,Partner,Cat,Unknown,14,Domestic Shorthair Mix,Brown Tabby/White
A664339,Trey,2013-12-24 15:18:00,Transfer,Partner,Cat,Neutered Male,120,Domestic Medium Hair,Black
A680804,Unnamed,2014-06-08 12:18:00,Euthanasia,Suffering,Cat,Intact Male,2555,Domestic Shorthair Mix,Black/White
A677815,Jack,2014-05-03 12:17:00,Transfer,Partner,Dog,Neutered Male,1095,Jack Russell Terrier Mix,Tricolor
A689616,Vincent,2014-10-11 18:33:00,Adoption,unknown,Cat,Neutered Male,730,Domestic Longhair Mix,Black Smoke
A708761,Ottie,2015-08-05 16:11:00,Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair Mix,Orange Tabby
A670822,Dexter,2014-02-15 14:18:00,Adoption,unknown,Dog,Neutered Male,730,American Staffordshire Terrier Mix,Brown Brindle/White
